"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM159108","1","0","1","0","0","0","1"
"GSM159109","0","1","1","1","1","0","1"
"GSM159110","1","0","0","0","0","0","1"
"GSM159111","1","1","1","1","1","0","1"
"GSM159112","0","0","0","0","0","0","1"
"GSM159113","0","0","0","0","0","1","0"
"GSM159115","0","1","1","1","1","1","1"
"GSM159116","1","0","1","1","0","1","1"
"GSM159117","0","0","0","0","1","0","1"
"GSM159118","1","0","1","0","0","0","1"
"GSM159119","0","1","0","1","1","1","1"
"GSM159120","1","1","0","1","1","0","1"
"GSM159121","1","0","0","0","0","0","0"
"GSM159122","1","1","1","1","1","1","1"
"GSM159123","0","1","0","1","1","0","1"
"GSM159124","1","0","1","1","0","0","1"
"GSM159125","0","0","0","0","0","1","1"
"GSM159126","1","0","0","0","0","0","1"
"GSM159127","0","0","0","0","0","1","0"
"GSM159128","0","0","0","1","1","1","1"
"GSM159129","0","1","0","0","1","1","1"
"GSM159130","0","0","0","0","0","1","1"
"GSM159131","0","1","1","1","1","1","1"
"GSM159132","0","0","1","1","1","0","1"
"GSM159133","0","1","0","1","1","1","1"
"GSM159134","1","1","1","0","1","0","1"
"GSM159135","0","1","1","1","0","1","1"
"GSM159136","0","0","0","1","0","1","1"
"GSM159138","0","1","0","1","1","0","1"
"GSM159139","1","0","1","0","1","1","1"
"GSM159140","0","0","0","1","1","1","1"
"GSM159141","0","1","0","1","1","1","1"
"GSM159142","1","1","1","0","1","1","1"
"GSM159143","1","1","1","1","0","0","1"
"GSM159144","1","0","1","1","1","0","1"
"GSM159145","0","0","0","0","0","1","1"
"GSM159147","1","1","1","1","0","1","1"
"GSM159148","0","0","0","0","0","1","0"
"GSM159149","1","1","1","1","1","0","1"
"GSM159150","0","1","1","1","1","1","1"
"GSM159151","0","1","1","1","1","1","1"
"GSM159152","1","1","0","0","1","1","1"
"GSM159153","1","1","1","0","1","0","1"
"GSM159154","1","0","1","0","0","1","1"
"GSM159155","1","0","1","0","1","0","1"
"GSM159156","1","0","0","0","0","0","0"
"GSM159157","0","0","0","0","1","1","1"
"GSM159158","0","0","0","0","0","0","1"
"GSM159159","1","0","1","1","0","1","1"
"GSM159160","0","1","0","0","0","0","1"
"GSM159161","1","0","0","0","0","0","1"
"GSM159162","0","0","0","0","0","0","1"
"GSM159163","1","0","0","0","0","0","0"
"GSM159164","0","1","0","0","1","1","1"
"GSM159165","1","1","1","1","1","0","1"
"GSM159166","1","0","1","1","0","0","1"
"GSM159167","1","1","1","1","1","0","1"
"GSM159168","1","0","1","0","1","0","1"
"GSM159169","1","0","0","0","0","0","1"
"GSM159170","1","1","1","1","1","0","1"
"GSM159171","0","1","1","1","1","1","1"
"GSM768680","0","0","0","0","1","1","1"
"GSM768681","1","0","1","1","1","0","1"
"GSM768682","0","0","0","0","1","1","1"
"GSM768683","0","0","0","0","0","1","0"
"GSM768684","1","0","0","1","0","0","1"
"GSM768685","1","1","1","1","1","0","1"
"GSM768686","0","1","0","1","1","0","1"
"GSM768687","1","1","1","1","1","0","1"
"GSM768688","1","0","0","0","0","0","0"
"GSM768689","1","0","0","0","0","1","1"
"GSM768690","0","1","1","1","1","1","1"
"GSM768691","1","1","1","0","0","0","1"
"GSM768692","0","0","0","0","0","1","0"
"GSM768693","0","1","0","1","1","1","1"
"GSM768694","0","0","0","1","1","1","1"
"GSM768695","1","1","0","0","0","1","1"
"GSM768696","1","0","1","0","1","1","1"
"GSM768697","0","1","0","0","0","1","1"
"GSM768698","1","1","1","1","1","0","1"
"GSM768699","1","0","0","0","0","1","1"
"GSM768700","1","1","1","1","1","0","1"
"GSM768701","0","1","1","0","0","1","0"
"GSM768702","1","1","1","1","1","0","1"
"GSM768703","1","0","0","0","0","0","0"
"GSM768704","0","0","0","0","1","0","1"
"GSM768705","1","1","1","0","0","0","1"
"GSM768706","1","1","1","1","1","0","1"
"GSM768707","1","0","0","0","0","0","1"
"GSM768708","0","0","0","0","0","1","1"
"GSM768709","1","0","1","0","0","0","1"
"GSM768710","0","0","0","0","0","0","0"
"GSM768711","0","0","0","0","0","0","1"
"GSM768712","1","1","0","1","1","0","1"
"GSM768713","1","0","1","0","0","0","1"
"GSM768714","1","0","1","0","1","1","1"
"GSM768715","1","0","1","0","0","0","1"
"GSM768716","1","1","1","1","1","0","1"
"GSM768717","0","1","1","1","1","1","1"
"GSM768718","0","1","0","1","1","1","1"
"GSM768719","1","1","1","0","0","0","1"
"GSM768720","1","1","0","1","1","0","1"
"GSM768721","1","1","0","1","1","1","1"
"GSM768722","1","0","0","0","0","0","1"
"GSM768723","1","0","1","0","1","0","1"
"GSM768724","0","0","0","0","0","1","1"
"GSM768727","1","0","0","0","0","0","0"
"GSM768734","1","0","0","0","0","1","1"
"GSM768735","0","1","0","0","0","0","1"
"GSM768738","0","1","1","1","1","1","1"
"GSM768739","1","1","0","1","1","0","1"
"GSM768740","0","0","0","0","0","1","0"
"GSM768742","0","0","0","1","1","1","1"
"GSM768743","0","1","1","1","1","1","1"
"GSM768744","0","1","0","0","0","0","0"
"GSM768745","1","1","1","0","0","0","1"
"GSM768746","1","1","1","1","1","1","1"
"GSM768747","1","0","0","1","0","1","1"
"GSM768748","1","0","1","0","1","0","1"
"GSM768749","0","1","0","1","1","1","1"
"GSM768751","0","0","1","0","0","1","1"
"GSM768752","0","0","1","0","1","1","1"
"GSM768753","0","0","1","0","0","0","0"
"GSM768754","1","1","0","1","1","0","1"
