Patient,AML_Bullinger,AML_HSCR,AML_LI24,AML_LSCR,AML_Marcucci,AML_Metzeler,AML_LSC17
GSM158868,0,0,1,0,0,0,0
GSM158869,0,1,1,1,1,0,1
GSM158870,0,1,1,1,1,0,1
GSM158871,1,0,0,0,0,0,1
GSM158872,0,0,0,1,1,0,1
GSM158873,0,0,1,0,1,0,0
GSM158874,0,1,1,1,1,1,1
GSM158875,0,1,1,1,1,1,1
GSM158876,0,0,1,0,0,0,1
GSM158877,0,0,0,0,0,0,0
GSM158878,0,0,1,0,0,0,0
GSM158879,0,1,1,1,1,0,1
GSM158880,0,1,1,1,0,0,1
GSM158881,0,1,1,1,1,0,1
GSM158882,0,0,0,1,1,0,1
GSM158883,0,0,1,0,0,0,0
GSM158884,0,0,1,0,0,0,0
GSM158885,0,0,0,1,1,0,0
GSM158886,0,1,1,1,0,1,1
GSM158887,0,0,1,0,0,1,1
GSM158888,0,0,0,0,0,0,0
GSM158889,0,1,0,1,0,0,1
GSM158890,0,0,0,1,0,0,1
GSM158891,0,0,1,0,0,0,1
GSM158892,0,1,1,1,0,1,1
GSM158893,0,1,1,0,0,0,0
GSM158894,0,1,0,1,1,0,1
GSM158895,0,0,1,0,1,0,0
GSM158896,0,1,0,0,0,0,0
GSM158897,0,0,0,0,0,0,1
GSM158898,0,0,0,0,0,0,0
GSM158899,0,1,0,0,1,0,0
GSM158900,0,1,0,1,1,0,0
GSM158901,0,1,1,1,1,0,1
GSM158902,0,0,0,0,1,0,1
GSM158903,0,0,0,0,0,0,0
GSM158904,0,1,0,1,1,0,0
GSM158905,0,1,0,1,1,0,1
GSM158906,0,0,1,1,1,0,1
GSM158907,0,0,0,0,1,0,1
GSM158908,0,1,1,1,0,1,1
GSM158909,0,0,0,0,0,0,0
GSM158910,0,1,1,1,1,1,1
GSM158911,0,0,1,0,0,0,0
GSM158912,0,0,0,0,0,0,0
GSM158913,0,1,1,1,1,0,1
GSM158914,0,0,0,0,0,0,0
GSM158915,0,1,0,1,1,0,0
