,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger,, 
GSM158775,0,1,1,1,0,1,0,0,,
GSM158776,1,0,0,1,0,0,0,0,,
GSM158777,1,1,1,1,1,1,1,1,,
GSM158778,0,1,1,1,1,1,1,1,,
GSM158779,1,1,1,1,1,1,1,0,,
GSM158780,1,0,0,1,0,0,0,0,,
GSM158781,0,0,1,1,0,1,0,0,,
GSM158782,1,0,1,1,0,1,1,0,,
GSM158783,1,1,0,1,1,1,0,0,,
GSM158784,1,0,0,0,0,0,0,0,,
GSM158785,1,0,0,0,0,0,0,0,,
GSM158786,0,1,1,1,1,1,1,0,,
GSM158787,1,1,1,1,1,1,1,1,,
GSM158788,0,0,0,1,0,0,0,0,,
GSM158789,0,0,0,0,0,0,0,0,,
GSM158790,0,0,0,0,0,1,0,0,,
GSM158791,0,1,1,1,1,1,1,0,,
GSM158792,0,0,0,0,0,1,0,0,,
GSM158793,1,1,1,1,1,1,1,1,,
GSM158794,0,1,1,1,0,1,1,0,,
GSM158795,1,0,0,1,0,0,0,0,,
GSM158796,1,0,0,0,0,1,0,0,,
GSM158797,1,0,0,1,0,0,0,0,,
GSM158798,0,0,0,1,1,1,0,0,,
GSM158799,1,1,1,1,1,1,1,0,,
GSM158800,1,1,1,1,1,1,1,1,,
GSM158801,1,0,0,1,0,1,1,0,,
GSM158802,0,1,1,1,1,1,1,0,,
GSM158803,0,1,0,1,0,1,0,0,,
GSM158804,1,1,1,1,1,1,1,1,,
GSM158805,0,0,1,1,1,1,0,0,,
GSM158806,1,0,0,1,0,1,0,0,,
GSM158807,1,1,1,0,1,1,1,0,,
GSM158808,0,0,0,0,0,1,0,0,,
GSM158809,1,0,0,1,0,1,0,0,,
GSM158810,0,1,1,1,1,1,1,0,,
GSM158811,0,1,1,1,0,1,1,0,,
GSM158812,0,1,1,1,1,1,1,0,,
GSM158813,0,1,1,1,1,1,1,0,,
GSM158814,0,0,0,0,0,1,0,0,,
GSM158815,1,1,1,1,1,1,0,0,,
GSM158816,1,0,0,0,0,0,0,0,,
GSM158817,1,0,0,1,0,1,0,0,,
GSM158818,1,1,0,1,1,1,1,1,,
GSM158819,0,0,1,1,1,1,1,0,,
GSM158820,0,1,1,1,0,1,0,0,,
GSM158821,1,1,1,1,1,1,1,1,,
GSM158822,0,0,0,0,0,0,0,0,,
GSM158823,1,1,1,1,1,1,1,0,,
GSM158824,0,1,0,1,1,1,0,0,,
GSM158825,1,1,1,1,1,1,1,1,,
GSM158826,0,1,1,1,1,1,1,0,,
GSM158827,1,0,0,1,0,1,0,0,,
GSM158828,1,1,1,1,1,1,1,0,,
GSM158829,1,0,0,1,0,0,0,0,,
GSM158830,0,1,1,1,0,1,0,0,,
GSM158831,0,0,0,0,0,0,0,0,,
GSM158832,1,0,1,1,0,1,1,1,,
GSM158833,0,0,1,1,0,1,1,0,,
GSM158834,1,1,1,1,1,1,1,0,,
GSM158835,0,0,0,1,0,1,0,0,,
GSM158836,0,0,0,1,0,1,0,0,,
GSM158837,1,1,1,1,1,1,1,1,,
GSM158838,1,0,0,1,0,0,0,0,,
GSM158839,0,1,1,1,0,1,0,0,,
GSM158840,1,1,0,0,1,1,1,1,,
GSM158841,0,1,1,1,1,1,1,0,,
GSM158842,1,0,0,1,0,1,0,0,,
GSM158843,1,1,1,1,1,1,1,0,,
GSM158844,0,0,0,0,0,1,1,0,,
GSM158846,1,1,1,1,1,1,1,0,,
GSM158847,0,0,0,1,0,1,0,1,,
GSM158848,1,0,0,1,0,0,0,0,,
GSM158849,0,1,1,1,0,1,1,0,,
GSM158850,1,0,0,1,0,0,0,0,,
GSM158851,0,1,1,1,1,1,1,0,,
GSM158852,1,1,0,0,1,1,0,1,,
GSM158853,0,1,1,1,1,1,1,0,,
GSM158854,1,0,0,0,0,0,0,0,,
GSM158855,0,0,0,1,1,1,1,0,,
GSM158856,0,0,1,0,1,1,1,0,,
GSM158857,1,0,0,0,0,0,0,0,,
GSM158858,1,0,0,1,0,1,0,0,,
GSM158859,1,1,1,1,1,1,1,0,,
GSM158860,0,1,1,1,1,1,1,0,,
GSM158861,0,0,0,1,0,1,0,0,,
GSM158862,0,1,0,1,0,1,0,0,,
GSM158863,1,1,1,1,1,1,1,0,,
GSM158864,1,0,0,1,0,0,0,0,,
GSM158865,1,1,1,1,1,1,1,1,,
GSM158866,1,1,1,1,1,1,1,0,,
GSM158867,1,1,1,1,1,1,1,1,,
GSM158868,1,1,0,0,1,1,1,0,,
GSM158869,0,0,0,0,0,1,0,1,,
GSM158870,0,0,0,1,0,1,0,0,,
GSM158871,1,0,1,1,1,1,1,0,,
GSM158872,0,0,1,1,0,1,1,0,,
GSM158873,0,1,0,1,1,1,1,0,,
GSM158874,0,0,0,0,0,0,0,1,,
GSM158875,0,0,0,1,0,0,0,0,,
GSM158876,1,0,0,0,1,1,1,0,,
GSM158877,1,1,1,1,1,1,1,0,,
GSM158878,1,1,0,1,1,1,1,0,,
GSM158879,0,0,0,0,0,1,0,0,,
GSM158880,1,0,0,1,0,1,0,0,,
GSM158881,0,0,0,0,0,1,0,0,,
GSM158882,0,0,1,1,0,1,1,0,,
GSM158883,1,1,0,1,1,1,1,1,,
GSM158884,1,1,0,1,1,1,1,1,,
GSM158885,0,1,1,1,0,1,1,0,,
GSM158886,1,0,0,1,0,0,0,0,,
GSM158887,1,0,0,0,1,0,1,1,,
GSM158888,1,1,1,1,1,1,1,0,,
GSM158889,1,0,1,1,0,1,0,1,,
GSM158890,1,0,1,1,0,1,1,0,,
GSM158891,1,0,0,1,1,1,1,1,,
GSM158892,1,0,0,0,0,0,0,0,,
GSM158893,1,1,0,0,1,1,0,1,,
GSM158894,0,0,1,1,0,1,0,0,,
