,Marcucci,LSC07,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
GSM924161,1,1,0,1,0,1,1,0
GSM924162,0,1,1,1,0,1,1,1
GSM924163,1,0,1,1,0,1,1,0
GSM924164,0,1,0,1,0,1,1,0
GSM924165,0,1,0,0,0,1,0,1
GSM924166,0,1,1,1,0,1,1,1
GSM924167,0,1,0,1,0,1,1,1
GSM924168,1,1,0,1,0,1,1,0
GSM924169,0,1,1,0,0,1,1,1
GSM924170,0,1,1,1,0,1,0,1
GSM924171,0,1,1,1,0,1,1,0
GSM924172,1,0,1,1,0,1,1,1
GSM924173,0,1,0,1,0,1,1,0
GSM924174,0,1,1,0,0,1,0,0
GSM924175,0,1,0,1,0,1,0,1
GSM924176,1,1,0,1,0,1,1,1
GSM924177,1,1,1,1,0,1,1,0
GSM924178,1,1,1,1,0,1,1,1
GSM924179,1,0,0,1,0,1,0,1
GSM924180,1,0,0,1,0,1,1,1
GSM924181,0,1,0,1,0,1,1,0
GSM924182,1,1,1,1,0,1,1,0
GSM924183,1,1,1,1,0,1,1,0
GSM924184,1,1,1,1,0,1,1,1
GSM924185,1,1,1,1,0,1,1,0
GSM924186,1,1,1,1,0,1,1,0
GSM924187,1,0,1,1,0,1,1,1
GSM924188,0,0,1,0,0,1,1,1
GSM924189,1,0,1,1,0,1,1,1
GSM924190,0,0,1,0,0,1,0,1
GSM924191,1,1,1,1,0,1,1,1
GSM924192,1,1,0,1,0,1,1,0
GSM924193,1,1,1,1,0,1,1,1
GSM924194,0,1,1,1,0,1,1,0
GSM924195,0,1,1,1,0,1,1,1
GSM924196,1,1,1,1,0,1,1,0
GSM924197,1,1,1,1,0,1,1,0
GSM924198,1,1,1,1,0,1,1,0
GSM924199,0,0,0,1,0,1,0,0
GSM924200,0,0,0,1,0,1,1,1
GSM924201,0,0,0,1,0,1,0,1
GSM924202,0,1,0,1,0,1,0,0
GSM924203,1,0,1,1,0,1,0,1
GSM924204,0,0,1,0,0,1,1,1
GSM924205,0,0,0,1,0,1,0,0
GSM924206,1,1,0,1,0,1,1,0
GSM924207,0,0,1,1,0,1,0,1
GSM924208,0,1,1,1,0,1,1,0
GSM924209,0,0,0,1,0,1,0,0
GSM924210,0,0,1,1,0,1,0,1
GSM924211,1,0,1,1,0,1,1,1
GSM924212,0,1,1,1,0,1,0,1
GSM924213,0,0,1,0,0,1,1,1
GSM924214,0,0,1,1,0,1,1,1
GSM924215,0,1,0,1,0,1,0,0
GSM924216,0,0,1,1,0,1,0,1
GSM924217,0,0,1,1,0,1,1,0
GSM924218,1,1,0,1,0,1,1,0
GSM924219,0,0,1,1,0,1,1,1
GSM924220,0,1,0,0,0,1,1,1
GSM924221,0,1,0,1,0,1,1,1
GSM924222,0,1,1,1,0,1,0,0
GSM924223,0,1,1,1,0,1,0,0
GSM924224,1,1,0,1,0,1,0,0
GSM924225,0,1,1,0,0,1,0,0
GSM924226,0,0,0,0,0,1,0,1
GSM924227,0,1,1,1,0,1,0,0
GSM924228,1,0,1,1,0,1,1,1
GSM924229,1,0,0,1,0,1,1,1
GSM924230,1,0,0,1,0,1,1,1
GSM924231,1,1,0,1,0,1,0,1
