"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM158773","1","1","1","1","1","1","1"
"GSM158774","1","0","0","1","1","0","1"
"GSM158775","0","0","1","1","0","0","1"
"GSM158776","0","0","0","0","0","1","0"
"GSM158777","0","1","1","1","1","1","1"
"GSM158778","0","1","1","1","1","0","1"
"GSM158779","1","1","1","1","1","1","1"
"GSM158780","0","0","0","0","0","1","0"
"GSM158781","1","0","1","0","0","0","1"
"GSM158782","0","1","1","0","0","1","1"
"GSM158783","0","0","0","1","1","1","1"
"GSM158784","0","0","0","0","0","1","0"
"GSM158785","0","0","0","0","0","1","0"
"GSM158786","0","1","1","1","1","0","1"
"GSM158787","0","1","1","1","1","1","1"
"GSM158788","1","0","0","0","0","0","0"
"GSM158789","0","0","0","0","0","0","0"
"GSM158790","1","0","0","0","0","0","1"
"GSM158791","0","1","1","1","1","0","1"
"GSM158792","1","0","0","0","0","0","1"
"GSM158793","0","1","1","1","1","1","1"
"GSM158794","1","1","1","1","0","0","1"
"GSM158795","0","0","0","0","0","1","0"
"GSM158796","0","0","0","0","0","1","1"
"GSM158797","0","0","0","0","0","1","0"
"GSM158798","0","0","0","0","1","0","1"
"GSM158799","1","1","1","1","1","1","1"
"GSM158800","0","1","1","1","1","1","1"
"GSM158801","1","1","0","0","0","1","1"
"GSM158802","1","1","1","1","1","0","1"
"GSM158803","0","0","0","1","0","0","1"
"GSM158804","0","1","1","1","1","1","1"
"GSM158805","1","0","1","0","1","0","1"
"GSM158806","0","0","0","0","0","1","1"
"GSM158807","0","1","1","1","1","1","1"
"GSM158808","0","0","0","0","0","0","1"
"GSM158809","0","0","0","0","0","1","1"
"GSM158810","1","1","1","1","1","0","1"
"GSM158811","1","1","1","1","0","0","1"
"GSM158812","1","1","1","1","1","0","1"
"GSM158813","1","1","1","1","1","0","1"
"GSM158814","0","0","0","0","0","0","1"
"GSM158815","0","0","1","1","1","1","1"
"GSM158816","0","0","0","0","0","1","0"
"GSM158817","0","0","0","0","0","1","1"
"GSM158818","0","1","0","1","1","1","1"
"GSM158819","1","1","1","0","1","0","1"
"GSM158820","0","0","1","1","0","0","1"
"GSM158821","0","1","1","1","1","1","1"
"GSM158822","0","0","0","0","0","0","0"
"GSM158823","1","1","1","1","1","1","1"
"GSM158824","0","0","0","1","1","0","1"
"GSM158825","0","1","1","1","1","1","1"
"GSM158826","1","1","1","1","1","0","1"
"GSM158827","1","0","0","0","0","1","1"
"GSM158828","0","1","1","1","1","1","1"
"GSM158829","0","0","0","0","0","1","0"
"GSM158830","0","0","1","1","0","0","1"
"GSM158831","0","0","0","0","0","0","0"
"GSM158832","0","1","1","0","0","1","1"
"GSM158833","0","1","1","0","0","0","1"
"GSM158834","1","1","1","1","1","1","1"
"GSM158835","1","0","0","0","0","0","1"
"GSM158836","1","0","0","0","0","0","1"
"GSM158837","0","1","1","1","1","1","1"
"GSM158838","0","0","0","0","0","1","0"
"GSM158839","0","0","1","1","0","0","1"
"GSM158840","0","1","0","1","1","1","1"
"GSM158841","1","1","1","1","1","0","1"
"GSM158842","0","0","0","0","0","1","1"
"GSM158843","0","1","1","1","1","1","1"
"GSM158844","0","1","0","0","0","0","1"
"GSM158846","1","1","1","1","1","1","1"
"GSM158847","0","0","0","0","0","0","1"
"GSM158848","0","0","0","0","0","1","0"
"GSM158849","1","1","1","1","0","0","1"
"GSM158850","0","0","0","0","0","1","0"
"GSM158851","1","1","1","1","1","0","1"
"GSM158852","0","0","0","1","1","1","1"
"GSM158853","0","1","1","1","1","0","1"
"GSM158854","0","0","0","0","0","1","0"
"GSM158855","1","1","0","0","1","0","1"
