,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
TCGA-AB-2934,1,0,0,1,0,0,0,0
TCGA-AB-2851,0,1,1,1,0,0,1,0
TCGA-AB-2896,1,0,0,1,1,0,1,0
TCGA-AB-2989,1,1,1,1,1,0,1,0
TCGA-AB-2936,1,0,0,1,0,0,0,0
TCGA-AB-3005,1,0,0,1,0,0,0,0
TCGA-AB-2976,1,1,1,1,1,0,1,0
TCGA-AB-2853,1,0,0,1,0,0,0,0
TCGA-AB-2984,0,0,0,1,0,0,0,0
TCGA-AB-3006,1,1,1,1,1,0,1,0
TCGA-AB-2981,0,0,0,1,1,0,0,0
TCGA-AB-2975,1,0,1,1,0,0,0,0
TCGA-AB-2854,0,1,0,1,0,0,0,0
TCGA-AB-2964,1,0,1,1,1,0,0,0
TCGA-AB-3008,1,0,0,1,1,0,1,0
TCGA-AB-2898,0,0,0,1,0,0,0,0
TCGA-AB-2856,0,0,0,1,0,0,0,0
TCGA-AB-2947,0,0,0,1,1,0,0,0
