,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
GSM924018,0,0,0,1,0,0,1,1
GSM924019,1,1,1,1,1,1,1,1
GSM924020,1,1,1,1,1,0,1,0
GSM924021,0,0,1,1,0,0,0,1
GSM924022,1,1,0,1,1,0,0,1
GSM924023,1,1,1,1,0,0,1,0
GSM924024,1,1,0,1,0,0,1,0
GSM924025,0,0,0,1,0,0,1,1
GSM924026,1,1,1,1,1,0,1,1
GSM924027,1,1,0,1,0,0,0,1
GSM924028,0,0,0,1,1,0,0,0
GSM924029,1,0,0,1,1,0,1,0
GSM924030,0,1,1,1,1,1,1,1
GSM924031,0,0,0,1,0,0,0,0
GSM924032,1,1,0,1,0,0,0,1
GSM924033,1,1,1,1,1,0,1,0
GSM924034,0,1,1,1,1,0,1,1
GSM924035,1,0,0,1,0,0,0,0
GSM924036,1,1,1,1,1,0,1,1
GSM924037,1,1,1,1,1,0,1,0
GSM924038,0,0,0,1,0,0,0,1
GSM924039,1,1,0,1,1,0,1,0
GSM924040,1,0,0,1,1,0,1,0
GSM924041,1,1,1,1,1,1,1,1
GSM924042,0,1,0,1,0,0,1,0
GSM924043,0,0,1,1,0,0,0,0
GSM924044,0,0,0,1,1,0,0,1
GSM924045,0,0,0,1,0,0,0,1
GSM924046,0,0,0,1,0,0,1,0
GSM924047,0,1,1,1,0,0,1,0
GSM924048,1,0,1,1,0,0,0,0
GSM924049,1,0,1,1,1,0,0,1
GSM924050,0,1,1,1,1,1,1,1
GSM924051,0,0,0,1,0,0,0,0
GSM924052,0,0,1,1,0,0,0,1
GSM924053,0,0,0,1,0,0,0,0
GSM924054,0,1,0,1,1,0,0,1
GSM924055,1,1,1,1,1,0,1,0
GSM924056,1,1,1,1,1,0,0,1
GSM924057,1,0,1,1,1,0,1,0
GSM924058,0,0,0,1,0,0,0,0
GSM924059,1,1,1,1,1,1,1,1
GSM924060,0,1,1,1,0,1,1,1
GSM924061,0,0,0,1,0,0,0,1
GSM924062,1,0,0,1,1,0,1,1
GSM924063,0,1,0,1,1,0,0,0
GSM924064,0,0,0,1,0,0,1,1
GSM924065,0,0,1,1,0,0,0,0
GSM924066,1,1,1,1,1,0,1,0
GSM924067,0,0,1,1,0,0,0,0
GSM924068,0,0,0,1,0,0,0,1
GSM924069,0,0,0,1,0,0,0,0
GSM924070,1,1,1,1,1,1,1,1
GSM924071,0,1,1,1,1,0,1,1
GSM924072,0,0,0,1,0,0,0,1
GSM924073,1,1,1,1,1,0,1,1
GSM924074,1,1,1,1,1,0,1,1
GSM924075,1,0,0,1,1,0,0,1
GSM924076,1,0,0,1,0,0,0,0
GSM924077,1,1,1,1,1,1,1,1
GSM924078,0,0,0,1,0,0,0,1
GSM924079,1,1,1,1,0,0,0,1
GSM924080,0,0,0,1,0,0,0,0
