"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM158855","0","0","1","1","0","1","0"
"GSM158856","0","0","0","1","0","1","0"
"GSM158857","1","1","1","1","1","0","1"
"GSM158858","1","1","1","1","1","0","0"
"GSM158859","0","0","0","0","0","0","0"
"GSM158860","0","0","0","0","0","1","0"
"GSM158861","0","1","1","1","1","1","0"
"GSM158862","0","1","1","0","1","1","0"
"GSM158863","0","0","0","0","0","0","0"
"GSM158864","1","1","1","1","1","0","1"
"GSM158865","1","0","0","0","0","0","0"
"GSM158866","0","0","0","0","0","0","0"
"GSM158867","1","0","0","0","0","0","0"
"GSM158868","0","0","1","0","0","0","0"
"GSM158869","1","1","1","1","1","1","0"
"GSM158870","0","1","1","1","1","1","0"
"GSM158871","0","0","0","1","0","0","0"
"GSM158872","0","0","0","1","1","1","0"
"GSM158873","0","0","1","0","0","1","0"
"GSM158874","1","1","1","1","1","1","1"
"GSM158875","0","1","1","1","1","1","1"
"GSM158876","1","0","1","1","0","0","0"
"GSM158877","0","0","0","0","0","0","0"
"GSM158878","0","0","1","0","0","0","0"
"GSM158879","0","1","1","1","1","1","0"
"GSM158880","1","1","1","1","1","0","0"
"GSM158881","0","1","1","1","1","1","0"
"GSM158882","0","0","0","1","1","1","0"
"GSM158883","1","0","1","0","0","0","0"
"GSM158884","1","0","1","0","0","0","0"
"GSM158885","0","0","0","0","1","1","0"
"GSM158886","1","1","1","1","1","0","1"
"GSM158887","1","0","1","1","0","0","1"
"GSM158888","0","0","0","0","0","0","0"
"GSM158889","1","1","0","1","1","0","0"
"GSM158890","0","0","0","1","1","0","0"
"GSM158891","1","0","1","1","0","0","0"
"GSM158892","1","1","1","1","1","0","1"
"GSM158893","1","1","1","0","0","0","0"
"GSM158894","0","1","0","1","1","1","0"
"GSM158895","1","0","1","0","0","1","0"
"GSM158896","1","1","0","0","0","0","0"
"GSM158897","0","0","0","1","0","0","0"
"GSM158898","1","0","0","0","0","0","0"
"GSM158899","0","1","0","0","0","1","0"
"GSM158900","0","1","0","0","1","1","0"
"GSM158901","0","1","1","1","1","1","0"
"GSM158902","0","0","0","1","0","1","0"
"GSM158903","0","0","0","0","0","0","0"
"GSM158904","0","1","0","0","1","1","0"
"GSM158905","0","1","0","1","1","1","0"
"GSM158906","0","0","1","1","1","1","0"
"GSM158907","0","0","0","1","0","1","0"
"GSM158908","1","1","1","1","1","0","1"
"GSM158909","1","0","0","0","0","0","0"
"GSM158910","0","1","1","1","1","1","1"
"GSM158911","0","0","1","0","0","0","0"
"GSM158912","0","0","0","0","0","0","0"
"GSM158913","1","1","1","1","1","1","0"
"GSM158914","0","0","0","0","0","0","0"
"GSM158915","0","1","0","0","1","1","0"
"GSM158916","1","0","0","0","0","0","0"
"GSM158917","1","1","1","0","0","0","0"
"GSM158918","1","1","0","0","1","1","0"
"GSM158919","0","1","1","1","1","1","0"
"GSM158920","0","0","0","0","0","0","0"
"GSM158921","0","0","0","0","1","0","0"
"GSM158922","0","1","1","1","1","1","0"
"GSM158923","0","0","0","0","1","1","0"
"GSM158924","1","0","0","0","0","0","0"
"GSM158925","0","0","0","0","1","1","0"
"GSM158926","0","1","0","1","1","1","0"
"GSM158927","0","0","0","0","0","1","0"
"GSM158928","0","0","0","0","0","1","0"
"GSM158929","1","1","1","1","1","0","1"
"GSM158930","0","1","1","1","1","0","1"
"GSM158931","0","1","1","1","1","1","0"
"GSM158932","1","0","1","1","0","0","0"
"GSM158933","1","1","1","1","1","0","1"
"GSM158934","0","1","1","1","1","1","0"
"GSM158935","0","0","1","1","1","1","0"
"GSM158936","0","1","0","0","0","1","0"
"GSM158937","1","0","0","0","0","0","0"
"GSM158938","1","0","0","0","0","1","0"
"GSM158939","0","1","1","1","1","1","0"
"GSM158940","1","0","1","1","0","0","0"
"GSM158941","1","1","1","1","1","1","1"
"GSM158942","1","1","0","0","0","0","0"
"GSM158943","0","0","0","0","0","0","0"
"GSM158944","0","1","0","1","1","0","0"
"GSM158945","0","1","0","0","1","1","0"
"GSM158946","1","0","1","0","0","0","0"
"GSM158947","0","1","0","1","0","1","0"
"GSM158948","0","0","0","0","0","0","0"
"GSM158949","1","1","1","1","1","1","0"
"GSM158950","1","1","1","1","1","0","0"
"GSM158951","0","0","0","0","0","1","0"
"GSM158952","1","1","1","1","1","0","0"
"GSM158953","0","0","0","1","1","1","0"
"GSM158954","1","0","0","0","0","0","0"
"GSM158955","1","0","0","0","0","0","0"
"GSM158956","1","0","0","0","0","0","0"
"GSM158957","1","0","0","0","0","0","0"
"GSM158958","1","1","1","1","1","0","1"
"GSM158959","0","0","0","0","0","1","0"
"GSM158960","1","1","1","1","0","0","0"
"GSM158961","1","1","1","1","1","0","1"
"GSM158962","1","1","1","1","1","1","0"
"GSM158963","1","1","1","1","1","1","0"
"GSM158964","0","0","0","0","0","0","0"
"GSM158965","0","0","0","1","1","0","0"
"GSM158966","0","0","1","1","1","1","0"
"GSM158967","1","1","1","1","1","0","1"
"GSM158968","0","1","1","1","1","1","0"
"GSM158969","1","0","0","0","1","1","0"
"GSM158970","0","1","0","0","1","1","0"
"GSM158971","1","1","0","1","0","0","0"
"GSM158972","0","0","0","0","0","0","0"
"GSM158973","0","1","1","1","0","1","0"
"GSM158974","1","0","0","0","0","0","0"
"GSM158975","0","0","0","0","1","1","0"
"GSM158976","1","0","0","0","0","0","0"
"GSM158977","0","1","1","1","1","1","1"
"GSM158978","0","0","0","0","0","0","0"
"GSM158979","0","1","1","1","1","1","0"
"GSM158980","1","0","1","0","1","1","0"
"GSM158981","1","0","0","0","0","0","0"
"GSM158982","0","1","1","1","1","1","0"
"GSM158983","0","1","1","1","1","1","0"
"GSM158984","0","0","0","0","0","0","0"
"GSM158985","0","0","0","0","0","0","0"
"GSM158986","1","0","1","0","0","0","0"
"GSM158987","1","0","0","0","0","0","0"
"GSM158988","0","0","0","1","1","1","0"
"GSM158990","1","1","1","1","1","0","1"
"GSM158991","0","0","0","0","1","1","0"
"GSM158992","1","0","0","0","0","0","0"
"GSM158993","0","1","1","0","1","1","0"
"GSM158994","0","0","0","0","0","1","0"
"GSM158995","0","0","0","1","1","1","1"
"GSM158996","1","0","1","1","1","0","1"
"GSM158997","1","1","1","1","1","1","0"
"GSM158998","0","0","0","0","0","1","0"
"GSM158999","0","1","0","0","1","1","0"
"GSM159000","0","0","0","0","0","1","0"
"GSM159001","1","0","0","0","0","0","0"
"GSM159002","1","0","1","1","1","0","1"
"GSM159003","0","1","1","1","1","0","1"
"GSM159004","1","0","1","0","0","0","0"
"GSM159005","0","0","1","0","1","1","0"
"GSM159006","0","1","0","0","1","1","0"
"GSM159007","0","0","1","0","0","0","0"
"GSM159008","1","0","1","0","0","0","0"
"GSM159009","1","0","1","0","0","0","0"
"GSM159010","0","1","0","1","1","1","1"
"GSM159011","0","1","1","1","0","1","0"
"GSM159012","0","0","0","0","0","1","0"
"GSM159013","1","1","1","1","1","0","0"
"GSM159014","1","0","0","1","0","0","0"
"GSM159015","0","0","0","1","0","1","0"
"GSM159016","1","1","1","1","1","0","0"
"GSM159017","1","1","1","0","0","0","0"
"GSM159018","1","0","1","0","0","1","0"
"GSM159019","1","1","0","0","0","0","0"
"GSM159020","0","1","1","1","1","1","0"
"GSM159021","0","0","0","0","0","1","0"
"GSM159022","1","1","1","1","1","0","1"
"GSM159023","0","1","1","1","1","1","0"
"GSM159024","0","1","1","1","1","1","1"
"GSM159025","1","1","1","1","1","0","0"
"GSM159026","0","0","0","0","1","1","0"
"GSM159027","1","1","1","1","1","0","1"
"GSM159028","0","1","0","0","0","1","0"
"GSM159029","1","1","0","0","0","1","0"
"GSM159030","1","0","0","0","0","0","0"
"GSM159031","0","1","0","0","1","1","0"
"GSM159032","0","0","0","0","0","1","0"
"GSM159033","0","0","0","0","0","0","0"
"GSM159034","0","0","0","1","0","1","0"
"GSM159035","1","0","0","0","0","0","0"
"GSM159036","1","1","1","1","1","0","0"
"GSM159037","0","0","0","0","0","1","0"
"GSM159038","1","1","1","1","1","0","1"
"GSM159039","1","1","1","1","1","0","0"
"GSM159040","0","1","0","0","0","1","0"
"GSM159041","1","1","1","1","0","0","0"
"GSM159042","1","1","1","1","1","1","0"
"GSM159043","0","1","1","1","1","1","0"
"GSM159044","0","0","0","0","0","1","0"
"GSM159045","1","1","1","1","1","0","1"
"GSM159046","0","1","1","1","1","0","1"
"GSM159047","0","0","0","0","0","0","0"
"GSM159048","0","1","1","1","1","1","0"
"GSM159049","0","0","1","1","0","0","0"
"GSM159050","0","0","1","0","1","1","0"
"GSM159051","1","0","0","0","0","0","0"
"GSM159052","1","1","1","0","0","1","0"
"GSM159053","0","0","0","0","0","1","0"
"GSM159054","1","0","0","0","0","1","0"
"GSM159055","0","1","0","1","1","1","0"
"GSM159056","0","0","1","1","0","1","0"
"GSM159057","0","1","0","0","1","0","0"
"GSM159058","1","1","1","1","1","0","1"
"GSM159059","0","1","0","0","1","1","0"
"GSM159060","1","0","0","0","0","0","0"
"GSM159061","1","0","0","0","0","1","0"
"GSM159062","0","1","1","1","1","1","0"
"GSM159063","0","1","0","1","0","1","0"
"GSM159064","1","0","1","0","0","0","0"
"GSM159065","0","0","0","1","0","0","0"
"GSM159066","1","1","1","1","1","0","0"
"GSM159067","1","1","1","1","1","0","1"
"GSM159068","0","0","1","1","0","1","0"
"GSM159069","0","1","0","1","1","1","0"
"GSM159070","1","1","1","1","1","0","1"
"GSM159071","0","0","0","0","0","1","0"
"GSM159072","0","0","0","0","0","1","0"
"GSM159073","1","1","1","1","1","0","1"
"GSM159074","0","0","0","1","0","1","0"
"GSM159075","1","0","1","0","0","0","0"
"GSM159076","0","0","0","0","0","0","0"
"GSM159077","1","1","1","1","1","0","1"
"GSM159078","1","0","1","0","0","0","0"
"GSM159079","1","1","1","1","1","1","1"
"GSM159080","0","0","0","0","0","1","0"
"GSM159081","0","0","0","0","1","1","0"
"GSM159082","0","0","0","0","1","0","0"
"GSM159083","0","1","0","0","1","1","0"
"GSM159084","0","1","1","0","1","1","0"
"GSM159085","1","1","1","1","1","0","1"
"GSM159086","0","0","0","1","1","1","0"
"GSM159087","1","0","0","0","0","0","0"
"GSM159088","0","1","1","1","1","1","0"
"GSM159089","1","1","1","1","1","0","0"
"GSM159090","0","0","0","0","0","1","0"
"GSM159091","1","0","0","0","0","0","0"
"GSM159092","0","0","0","0","0","0","0"
"GSM159093","0","0","0","1","1","1","0"
"GSM159094","1","0","1","0","0","0","0"
"GSM159095","0","1","0","0","0","0","0"
"GSM159096","1","1","1","0","0","0","0"
"GSM159097","0","0","0","0","0","1","0"
"GSM159098","1","0","0","0","0","1","0"
"GSM159099","0","1","1","1","1","1","1"
"GSM159100","1","1","1","1","1","0","1"
"GSM159101","1","0","1","1","1","0","1"
"GSM159102","0","1","0","1","1","1","0"
"GSM159103","0","1","1","1","1","1","0"
"GSM159104","0","0","1","0","0","1","0"
"GSM159105","0","1","0","0","1","1","0"
"GSM159106","1","1","1","1","1","0","1"
"GSM159107","0","0","0","0","0","0","0"
"GSM159108","0","1","0","1","1","1","0"
"GSM159109","1","0","0","0","0","1","0"
"GSM159110","0","1","1","1","1","1","0"
"GSM159111","0","0","0","0","0","1","0"
"GSM159112","1","1","1","1","1","1","0"
"GSM159113","1","1","1","1","1","0","1"
"GSM159115","1","0","0","0","0","0","0"
"GSM159116","0","1","0","0","1","0","0"
"GSM159117","1","1","1","1","0","1","0"
"GSM159118","0","1","0","1","1","1","0"
"GSM159119","1","0","1","0","0","0","0"
"GSM159120","0","0","1","0","0","1","0"
"GSM159121","0","1","1","1","1","1","1"
"GSM159122","0","0","0","0","0","0","0"
"GSM159123","1","0","1","0","0","1","0"
"GSM159124","0","1","0","0","1","1","0"
"GSM159125","1","1","1","1","1","0","0"
"GSM159126","0","1","1","1","1","1","0"
"GSM159127","1","1","1","1","1","0","1"
"GSM159128","1","1","1","0","0","0","0"
"GSM159129","1","0","1","1","0","0","0"
"GSM159130","1","1","1","1","1","0","0"
"GSM159131","1","0","0","0","0","0","0"
"GSM159132","1","1","0","0","0","1","0"
"GSM159133","1","0","1","0","0","0","0"
"GSM159134","0","0","0","1","0","1","0"
"GSM159135","1","0","0","0","1","0","0"
"GSM159136","1","1","1","0","1","0","0"
"GSM159138","1","0","1","0","0","1","0"
"GSM159139","0","1","0","1","0","0","0"
"GSM159140","1","1","1","0","0","0","0"
"GSM159141","1","0","1","0","0","0","0"
"GSM159142","0","0","0","1","0","0","0"
"GSM159143","0","0","0","0","1","1","0"
"GSM159144","0","1","0","0","0","1","0"
"GSM159145","1","1","1","1","1","0","0"
"GSM159147","0","0","0","0","1","0","0"
"GSM159148","1","1","1","1","1","0","1"
"GSM159149","0","0","0","0","0","1","0"
"GSM159150","1","0","0","0","0","0","0"
"GSM159151","1","0","0","0","0","0","0"
"GSM159152","0","0","1","1","0","0","0"
"GSM159153","0","0","0","1","0","1","0"
"GSM159154","0","1","0","1","1","0","0"
"GSM159155","0","1","0","1","0","1","0"
"GSM159156","0","1","1","1","1","1","1"
"GSM159157","1","1","1","1","0","0","0"
"GSM159158","1","1","1","1","1","1","0"
"GSM159159","0","1","0","0","1","0","0"
"GSM159160","1","0","1","1","1","1","0"
"GSM159161","0","1","1","1","1","1","0"
"GSM159162","1","1","1","1","1","1","0"
"GSM159163","0","1","1","1","1","1","1"
"GSM159164","1","0","1","1","0","0","0"
"GSM159165","0","0","0","0","0","1","0"
"GSM159166","0","1","0","0","1","1","0"
"GSM159167","0","0","0","0","0","1","0"
"GSM159168","0","1","0","1","0","1","0"
"GSM159169","0","1","1","1","1","1","0"
"GSM159170","0","0","0","0","0","1","0"
"GSM159171","1","0","0","0","0","0","0"
"GSM768680","1","1","1","1","0","0","0"
"GSM768681","0","1","0","0","0","1","0"
"GSM768682","1","1","1","1","0","0","0"
"GSM768683","1","1","1","1","1","0","1"
"GSM768684","0","1","1","0","1","1","0"
"GSM768685","0","0","0","0","0","1","0"
"GSM768686","1","0","1","0","0","1","0"
"GSM768687","0","0","0","0","0","1","0"
"GSM768688","0","1","1","1","1","1","1"
"GSM768689","0","1","1","1","1","0","0"
"GSM768690","1","0","0","0","0","0","0"
"GSM768691","0","0","0","1","1","1","0"
"GSM768692","1","1","1","1","1","0","1"
"GSM768693","1","0","1","0","0","0","0"
"GSM768694","1","1","1","0","0","0","0"
"GSM768695","0","0","1","1","1","0","0"
"GSM768696","0","1","0","1","0","0","0"
"GSM768697","1","0","1","1","1","0","0"
"GSM768698","0","0","0","0","0","1","0"
"GSM768699","0","1","1","1","1","0","0"
"GSM768700","0","0","0","0","0","1","0"
"GSM768701","1","0","0","1","1","0","1"
"GSM768702","0","0","0","0","0","1","0"
"GSM768703","0","1","1","1","1","1","1"
"GSM768704","1","1","1","1","0","1","0"
"GSM768705","0","0","0","1","1","1","0"
"GSM768706","0","0","0","0","0","1","0"
"GSM768707","0","1","1","1","1","1","0"
"GSM768708","1","1","1","1","1","0","0"
"GSM768709","0","1","0","1","1","1","0"
"GSM768710","1","1","1","1","1","1","1"
"GSM768711","1","1","1","1","1","1","0"
"GSM768712","0","0","1","0","0","1","0"
"GSM768713","0","1","0","1","1","1","0"
"GSM768714","0","1","0","1","0","0","0"
"GSM768715","0","1","0","1","1","1","0"
"GSM768716","0","0","0","0","0","1","0"
"GSM768717","1","0","0","0","0","0","0"
"GSM768718","1","0","1","0","0","0","0"
"GSM768719","0","0","0","1","1","1","0"
"GSM768720","0","0","1","0","0","1","0"
"GSM768721","0","0","1","0","0","0","0"
"GSM768722","0","1","1","1","1","1","0"
"GSM768723","0","1","0","1","0","1","0"
"GSM768724","1","1","1","1","1","0","0"
"GSM768727","0","1","1","1","1","1","1"
"GSM768734","0","1","1","1","1","0","0"
"GSM768735","1","0","1","1","1","1","0"
"GSM768738","1","0","0","0","0","0","0"
"GSM768739","0","0","1","0","0","1","0"
"GSM768740","1","1","1","1","1","0","1"
"GSM768742","1","1","1","0","0","0","0"
"GSM768743","1","0","0","0","0","0","0"
