,Marcucci,LSC07,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
GSM924161,0,0,1,0,1,0,0,1
GSM924162,1,0,0,0,1,0,0,0
GSM924163,0,1,0,0,1,0,0,1
GSM924164,1,0,1,0,1,0,0,1
GSM924165,1,0,1,1,1,0,1,0
GSM924166,1,0,0,0,1,0,0,0
GSM924167,1,0,1,0,1,0,0,0
GSM924168,0,0,1,0,1,0,0,1
GSM924169,1,0,0,1,1,0,0,0
GSM924170,1,0,0,0,1,0,1,0
GSM924171,1,0,0,0,1,0,0,1
GSM924172,0,1,0,0,1,0,0,0
GSM924173,1,0,1,0,1,0,0,1
GSM924174,1,0,0,1,1,0,1,1
GSM924175,1,0,1,0,1,0,1,0
GSM924176,0,0,1,0,1,0,0,0
GSM924177,0,0,0,0,1,0,0,1
GSM924178,0,0,0,0,1,0,0,0
GSM924179,0,1,1,0,1,0,1,0
GSM924180,0,1,1,0,1,0,0,0
GSM924181,1,0,1,0,1,0,0,1
GSM924182,0,0,0,0,1,0,0,1
GSM924183,0,0,0,0,1,0,0,1
GSM924184,0,0,0,0,1,0,0,0
GSM924185,0,0,0,0,1,0,0,1
GSM924186,0,0,0,0,1,0,0,1
GSM924187,0,1,0,0,1,0,0,0
GSM924188,1,1,0,1,1,0,0,0
GSM924189,0,1,0,0,1,0,0,0
GSM924190,1,1,0,1,1,0,1,0
GSM924191,0,0,0,0,1,0,0,0
GSM924192,0,0,1,0,1,0,0,1
GSM924193,0,0,0,0,1,0,0,0
GSM924194,1,0,0,0,1,0,0,1
GSM924195,1,0,0,0,1,0,0,0
GSM924196,0,0,0,0,1,0,0,1
GSM924197,0,0,0,0,1,0,0,1
GSM924198,0,0,0,0,1,0,0,1
GSM924199,1,1,1,0,1,0,1,1
GSM924200,1,1,1,0,1,0,0,0
GSM924201,1,1,1,0,1,0,1,0
GSM924202,1,0,1,0,1,0,1,1
GSM924203,0,1,0,0,1,0,1,0
GSM924204,1,1,0,1,1,0,0,0
GSM924205,1,1,1,0,1,0,1,1
GSM924206,0,0,1,0,1,0,0,1
GSM924207,1,1,0,0,1,0,1,0
GSM924208,1,0,0,0,1,0,0,1
GSM924209,1,1,1,0,1,0,1,1
GSM924210,1,1,0,0,1,0,1,0
GSM924211,0,1,0,0,1,0,0,0
GSM924212,1,0,0,0,1,0,1,0
GSM924213,1,1,0,1,1,0,0,0
GSM924214,1,1,0,0,1,0,0,0
GSM924215,1,0,1,0,1,0,1,1
GSM924216,1,1,0,0,1,0,1,0
GSM924217,1,1,0,0,1,0,0,1
GSM924218,0,0,1,0,1,0,0,1
GSM924219,1,1,0,0,1,0,0,0
GSM924220,1,0,1,1,1,0,0,0
GSM924221,1,0,1,0,1,0,0,0
GSM924222,1,0,0,0,1,0,1,1
GSM924223,1,0,0,0,1,0,1,1
GSM924224,0,0,1,0,1,0,1,1
GSM924225,1,0,0,1,1,0,1,1
GSM924226,1,1,1,1,1,0,1,0
GSM924227,1,0,0,0,1,0,1,1
GSM924228,0,1,0,0,1,0,0,0
GSM924229,0,1,1,0,1,0,0,0
GSM924230,0,1,1,0,1,0,0,0
GSM924231,0,0,1,0,1,0,1,0
GSM924232,1,1,0,0,1,0,0,0
GSM924233,0,0,1,0,1,0,0,1
GSM924234,0,0,1,0,1,0,0,1
GSM924235,1,1,0,0,1,0,0,0
GSM924236,0,1,0,0,1,0,0,0
GSM924237,0,1,1,0,1,0,0,1
GSM924238,0,0,1,0,1,0,0,1
GSM924239,0,1,0,0,1,0,0,0
GSM924240,1,1,1,0,1,0,0,0
GSM924241,0,1,1,0,1,0,0,1
GSM924242,0,1,1,0,1,0,0,0
GSM924243,1,1,1,0,1,0,1,0
GSM924244,0,1,1,0,1,0,0,0
GSM924245,0,1,1,0,1,0,0,0
GSM924246,1,1,0,0,1,0,0,0
GSM924247,0,1,1,0,1,0,0,0
GSM924248,0,1,0,0,1,0,0,0
GSM924249,0,1,1,0,1,0,0,0
GSM924250,0,0,1,0,1,0,1,1
GSM924251,1,1,1,0,1,0,1,0
GSM924252,1,1,0,0,1,0,1,0
GSM924253,0,0,1,0,1,0,1,1
GSM924254,0,1,0,0,1,0,0,0
GSM924255,0,0,1,0,1,0,0,1
GSM924256,0,0,1,1,1,0,1,1
GSM924257,0,1,0,0,1,0,0,0
GSM924258,1,0,0,1,1,0,1,0
GSM924259,1,0,1,1,1,0,1,1
GSM924260,0,0,0,0,1,0,1,0
GSM924261,1,0,0,1,1,0,1,1
GSM924262,0,1,0,0,1,0,0,0
GSM924263,0,1,1,0,1,0,1,0
GSM924264,1,0,0,1,1,0,1,0
GSM924265,0,1,1,0,1,0,0,1
GSM924266,0,1,0,0,1,0,1,0
GSM924267,0,1,0,0,1,0,1,0
GSM924268,0,1,1,0,1,0,0,0
GSM924269,0,1,1,0,1,0,0,1
GSM924270,0,1,0,0,1,0,0,0
GSM924271,0,1,0,0,1,0,0,1
GSM924272,0,0,1,0,1,0,1,0
GSM924273,0,0,0,0,1,0,0,1
GSM924274,1,0,1,1,1,0,1,1
GSM924275,0,1,0,0,1,0,1,0
GSM924276,0,1,0,0,1,0,1,0
GSM924277,0,1,1,0,1,0,0,0
GSM924278,1,0,0,0,1,0,1,1
GSM924279,0,1,0,0,1,0,0,0
GSM924280,0,0,0,0,1,0,0,0
GSM924281,1,1,1,0,1,0,0,1
GSM924282,1,0,1,0,1,0,1,0
GSM924283,1,1,0,0,1,0,0,0
GSM924284,0,1,0,0,1,0,0,0
GSM924285,0,1,1,0,1,0,1,0
GSM924286,0,0,1,0,1,0,0,0
GSM924287,0,1,0,0,1,0,1,0
GSM924288,0,0,0,0,1,0,0,0
GSM924289,0,1,0,0,1,0,0,0
GSM924290,1,0,1,1,1,0,1,1
GSM924291,1,0,1,0,1,0,1,1
GSM924292,0,1,1,0,1,0,0,0
GSM924293,1,0,0,1,1,0,1,0
GSM924294,0,1,1,0,1,0,1,0
GSM924295,1,1,0,1,1,0,1,0
GSM924296,0,1,0,0,1,0,1,0
GSM924297,1,0,1,0,1,0,0,1
GSM924298,1,0,1,1,1,0,1,1
GSM924299,1,0,1,0,1,0,1,1
GSM924300,1,0,1,1,1,0,1,1
GSM924301,1,0,1,0,1,0,1,1
GSM924302,0,1,0,0,1,0,0,0
GSM924303,1,0,0,1,1,0,1,1
GSM924304,0,1,1,0,1,0,0,0
GSM924305,0,0,0,0,1,0,0,0
GSM924306,1,0,1,0,1,0,1,1
GSM924307,1,1,0,0,1,0,1,0
GSM924308,1,0,0,1,1,0,1,0
GSM924309,1,0,1,0,1,0,1,0
GSM924310,1,0,1,0,1,0,1,0
GSM924311,1,1,1,0,1,0,1,0
GSM924312,1,0,1,1,1,0,1,1
GSM924313,1,1,0,0,1,0,1,1
GSM924314,0,1,0,0,1,0,0,0
GSM924315,0,1,0,0,1,0,0,0
GSM924316,1,0,1,1,1,0,1,1
GSM924317,0,0,0,0,1,0,0,1
GSM924318,1,0,1,0,1,0,1,1
GSM924319,0,1,0,0,1,0,0,0
GSM924320,0,0,0,0,1,0,0,0
GSM924321,0,1,1,0,1,0,0,0
GSM924322,1,0,1,1,1,0,1,1
GSM924323,0,1,1,0,1,0,0,0
GSM924324,0,0,1,0,1,0,1,0
GSM924325,1,0,0,0,1,0,0,1
GSM924326,0,1,0,0,1,0,0,0
GSM924327,1,0,0,1,1,0,1,0
GSM924328,0,0,0,0,1,0,1,1
GSM924329,1,0,1,0,1,0,0,1
GSM924330,0,0,0,0,1,0,0,1
GSM924331,1,0,1,1,1,0,1,1
GSM924332,1,0,1,0,1,0,1,1
GSM924333,1,1,0,0,1,0,1,0
GSM924334,1,0,0,0,1,0,1,1
GSM924335,1,0,1,1,1,0,1,0
GSM924336,1,1,1,0,1,0,0,0
GSM924337,1,0,0,0,1,0,1,0
GSM924338,1,0,1,1,1,0,1,1
GSM924339,1,0,1,1,1,0,1,1
GSM924340,1,1,1,0,1,0,0,0
GSM924341,1,0,1,0,1,0,1,1
GSM924342,1,1,0,0,1,0,1,0
GSM924343,0,1,0,0,1,0,1,0
GSM924344,1,1,1,0,1,0,1,1
GSM924345,1,0,1,1,1,0,1,0
GSM924346,0,1,1,0,1,0,1,0
GSM924347,1,0,1,0,1,0,1,1
GSM924348,0,0,1,0,1,0,1,0
GSM924349,0,0,0,0,1,0,1,0
GSM924350,1,0,0,0,1,0,1,1
GSM924351,1,0,1,1,1,0,1,0
GSM924352,1,0,1,0,1,0,1,0
GSM924353,1,0,1,0,1,0,1,0
GSM924354,0,0,0,0,1,0,0,1
GSM924355,0,1,1,0,1,0,0,0
GSM924356,0,1,0,0,1,0,0,0
GSM924357,1,0,0,0,1,0,0,0
GSM924358,0,0,1,0,1,0,1,1
GSM924359,0,1,1,0,1,0,0,0
GSM924360,0,1,0,0,1,0,0,0
GSM924361,1,0,1,1,1,0,1,1
GSM924362,1,1,0,0,1,0,1,0
GSM924363,0,0,1,0,1,0,1,0
GSM924364,1,0,1,1,1,0,1,1
GSM924365,1,0,1,1,1,0,1,1
GSM924366,1,1,1,0,1,0,0,0
GSM924367,0,0,0,0,1,0,1,0
GSM924368,0,0,0,0,1,0,0,0
GSM924369,0,0,1,0,1,0,1,1
GSM924370,0,1,1,0,1,0,0,0
GSM924371,0,1,0,0,1,0,0,0
GSM924372,0,0,1,0,1,0,1,0
GSM924373,1,0,0,0,1,0,1,0
GSM924374,0,0,1,0,1,0,1,1
GSM924375,1,1,1,0,1,0,0,0
GSM924376,1,0,1,1,1,0,1,0
GSM924377,1,1,0,0,1,0,1,0
GSM924378,1,1,0,0,1,0,1,0
GSM924379,0,1,0,0,1,0,0,0
GSM924380,0,1,0,0,1,0,0,1
GSM924381,0,1,0,0,1,0,0,0
GSM924382,0,0,1,0,1,0,0,1
GSM924383,0,1,1,0,1,0,0,0
GSM924384,0,1,0,0,1,0,0,0
GSM924385,0,1,0,0,1,0,0,0
GSM924386,0,0,1,0,1,0,1,1
GSM924387,1,0,1,1,1,0,1,1
GSM924388,1,0,1,0,1,0,1,1
GSM924389,1,0,1,0,1,0,1,0
GSM924390,0,1,1,0,1,0,0,0
GSM924391,0,1,1,0,1,0,0,0
GSM924392,1,1,0,0,1,0,0,0
GSM924393,1,0,1,1,1,0,1,1
GSM924394,0,0,1,0,1,0,1,0
GSM924395,1,0,1,0,1,0,1,1
GSM924396,1,0,1,1,1,0,1,1
GSM924397,1,0,1,1,1,0,0,1
GSM924398,0,0,1,0,1,0,1,1
GSM924399,1,1,1,1,1,0,1,0
GSM924400,1,1,0,0,1,0,1,0
GSM924401,1,1,0,0,1,0,1,0
GSM924402,0,1,0,0,1,0,1,0
GSM924403,0,0,1,0,1,0,0,1
GSM924404,0,1,1,0,1,0,0,0
GSM924405,1,1,1,0,1,0,0,1
GSM924406,1,1,0,0,1,0,0,0
GSM924407,0,1,0,0,1,0,0,1
GSM924408,1,1,0,0,1,0,0,0
GSM924409,1,0,1,0,1,0,1,1
GSM924410,0,1,1,0,1,0,1,0
GSM924411,1,0,1,0,1,0,1,1
GSM924412,0,0,1,0,1,0,1,0
GSM924413,0,1,1,0,1,0,1,0
GSM924414,0,1,1,0,1,0,0,0
GSM924415,1,0,1,1,1,0,1,1
GSM924416,1,1,0,1,1,0,0,1
GSM924417,1,0,0,1,1,0,1,1
GSM924418,1,0,0,0,1,0,1,0
GSM924419,1,0,1,0,1,0,0,1
GSM924420,1,0,1,1,1,0,0,1
