,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
GSM158864,0,1,1,1,1,1,1,1
GSM158865,0,0,0,1,0,0,0,0
GSM158866,0,0,0,1,0,0,0,1
GSM158867,0,0,0,1,0,0,0,1
GSM158868,0,0,1,0,0,0,0,0
GSM158869,1,1,1,0,1,0,1,1
GSM158870,1,1,1,1,1,0,1,0
GSM158871,0,1,0,1,0,0,0,0
GSM158872,1,1,0,1,1,0,0,1
GSM158873,1,0,1,1,0,0,0,1
GSM158874,1,1,1,0,1,1,1,1
GSM158875,1,1,1,1,1,1,1,1
GSM158876,0,1,1,0,0,0,0,1
GSM158877,0,0,0,1,0,0,0,1
GSM158878,0,0,1,1,0,0,0,0
GSM158879,1,1,1,0,1,0,1,1
GSM158880,0,1,1,1,1,0,1,1
GSM158881,1,1,1,0,1,0,1,0
GSM158882,1,1,0,1,1,0,0,1
GSM158883,0,0,1,1,0,0,0,1
GSM158884,0,0,1,1,0,0,0,1
GSM158885,1,0,0,1,1,0,0,0
GSM158886,0,1,1,1,1,1,1,1
GSM158887,0,1,1,0,0,1,0,1
GSM158888,0,0,0,1,0,0,0,0
GSM158889,0,1,0,1,1,0,1,1
GSM158890,0,1,0,1,1,0,0,1
GSM158891,0,1,1,1,0,0,0,1
GSM158892,0,1,1,0,1,1,1,1
GSM158893,0,0,1,0,0,0,1,1
GSM158894,1,1,0,1,1,0,1,1
GSM158895,1,0,1,1,0,0,0,1
GSM158896,0,0,0,1,0,0,1,1
GSM158897,0,1,0,1,0,0,0,0
GSM158898,0,0,0,1,0,0,0,1
GSM158899,1,0,0,1,0,0,1,1
GSM158900,1,0,0,1,1,0,1,1
GSM158901,1,1,1,0,1,0,1,0
GSM158902,1,1,0,1,0,0,0,0
GSM158903,0,0,0,1,0,0,0,1
GSM158904,1,0,0,1,1,0,1,0
GSM158905,1,1,0,1,1,0,1,1
GSM158906,1,1,1,1,1,0,0,1
GSM158907,1,1,0,1,0,0,0,0
GSM158908,0,1,1,0,1,1,1,1
GSM158909,0,0,0,1,0,0,0,0
GSM158910,1,1,1,1,1,1,1,1
GSM158911,0,0,1,0,0,0,0,1
GSM158912,0,0,0,1,0,0,0,0
GSM158913,1,1,1,0,1,0,1,1
GSM158914,0,0,0,1,0,0,0,1
GSM158915,1,0,0,1,1,0,1,1
GSM158916,0,0,0,1,0,0,0,1
GSM158917,0,0,1,1,0,0,1,1
GSM158918,1,0,0,1,1,0,1,1
GSM158919,1,1,1,1,1,0,1,1
GSM158920,0,0,0,1,0,0,0,0
GSM158921,0,0,0,1,1,0,0,0
GSM158922,1,1,1,1,1,0,1,0
GSM158923,1,0,0,1,1,0,0,0
GSM158924,0,0,0,0,0,0,0,0
GSM158925,1,0,0,1,1,0,0,1
GSM158926,1,1,0,0,1,0,1,0
GSM158927,1,0,0,1,0,0,0,1
GSM158928,1,0,0,1,0,0,0,0
GSM158929,0,1,1,0,1,1,1,1
GSM158930,0,1,1,0,1,1,1,1
GSM158931,1,1,1,1,1,0,1,1
GSM158932,0,1,1,1,0,0,0,1
GSM158933,0,1,1,1,1,1,1,1
GSM158934,1,1,1,1,1,0,1,1
GSM158935,1,1,1,1,1,0,0,1
GSM158936,1,0,0,1,0,0,1,0
GSM158937,0,0,0,1,0,0,0,1
GSM158938,1,0,0,1,0,0,0,1
GSM158939,1,1,1,1,1,0,1,0
GSM158940,0,1,1,1,0,0,0,0
GSM158941,1,1,1,1,1,1,1,1
GSM158942,0,0,0,1,0,0,1,1
GSM158943,0,0,0,1,0,0,0,1
GSM158944,0,1,0,1,1,0,1,0
GSM158945,1,0,0,1,1,0,1,1
GSM158946,0,0,1,1,0,0,0,1
GSM158947,1,1,0,0,0,0,1,0
GSM158948,0,0,0,1,0,0,0,0
GSM158949,1,1,1,1,1,0,1,1
GSM158950,0,1,1,1,1,0,1,0
GSM158951,1,0,0,1,0,0,0,0
GSM158952,0,1,1,1,1,0,1,1
GSM158953,1,1,0,1,1,0,0,1
GSM158954,0,0,0,1,0,0,0,1
GSM158955,0,0,0,0,0,0,0,1
GSM158956,0,0,0,1,0,0,0,1
GSM158957,0,0,0,1,0,0,0,1
GSM158958,0,1,1,0,1,1,1,1
GSM158959,1,0,0,1,0,0,0,0
GSM158960,0,1,1,1,0,0,1,1
GSM158961,0,1,1,1,1,1,1,1
GSM158962,1,1,1,1,1,0,1,1
GSM158963,1,1,1,1,1,0,1,1
GSM158964,0,0,0,1,0,0,0,0
GSM158965,0,1,0,1,1,0,0,1
GSM158966,1,1,1,1,1,0,0,0
GSM158967,0,1,1,1,1,1,1,1
GSM158968,1,1,1,1,1,0,1,1
GSM158969,1,0,0,1,1,0,0,1
GSM158970,1,0,0,1,1,0,1,1
GSM158971,0,1,0,1,0,0,1,1
GSM158972,0,0,0,0,0,0,0,0
GSM158973,1,1,1,1,0,0,1,0
GSM158974,0,0,0,1,0,0,0,1
GSM158975,1,0,0,1,1,0,0,0
GSM158976,0,0,0,1,0,0,0,1
GSM158977,1,1,1,0,1,1,1,1
GSM158978,0,0,0,1,0,0,0,0
GSM158979,1,1,1,1,1,0,1,0
GSM158980,1,0,1,1,1,0,0,1
GSM158981,0,0,0,1,0,0,0,1
GSM158982,1,1,1,1,1,0,1,1
GSM158983,1,1,1,1,1,0,1,1
GSM158984,0,0,0,1,0,0,0,0
GSM158985,0,0,0,1,0,0,0,0
GSM158986,0,0,1,1,0,0,0,1
GSM158987,0,0,0,1,0,0,0,1
GSM158988,1,1,0,1,1,0,0,1
GSM158990,0,1,1,0,1,1,1,1
GSM158991,1,0,0,1,1,0,0,0
GSM158992,0,0,0,1,0,0,0,1
GSM158993,1,0,1,1,1,0,1,1
GSM158994,1,0,0,1,0,0,0,0
