"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM158855","1","1","2","2","1","2","1"
"GSM158856","1","1","1","2","1","2","1"
"GSM158857","2","2","2","2","2","1","2"
"GSM158858","2","2","2","2","2","1","1"
"GSM158859","1","1","1","1","1","1","1"
"GSM158860","1","1","1","1","1","2","1"
"GSM158861","1","2","2","2","2","2","1"
"GSM158862","1","2","2","1","2","2","1"
"GSM158863","1","1","1","1","1","1","1"
"GSM158864","2","2","2","2","2","1","2"
"GSM158865","2","1","1","1","1","1","1"
"GSM158866","1","1","1","1","1","1","1"
"GSM158867","2","1","1","1","1","1","1"
"GSM158868","1","1","2","1","1","1","1"
"GSM158869","2","2","2","2","2","2","1"
"GSM158870","1","2","2","2","2","2","1"
"GSM158871","1","1","1","2","1","1","1"
"GSM158872","1","1","1","2","2","2","1"
"GSM158873","1","1","2","1","1","2","1"
"GSM158874","2","2","2","2","2","2","2"
"GSM158875","1","2","2","2","2","2","2"
"GSM158876","2","1","2","2","1","1","1"
"GSM158877","1","1","1","1","1","1","1"
"GSM158878","1","1","2","1","1","1","1"
"GSM158879","1","2","2","2","2","2","1"
"GSM158880","2","2","2","2","2","1","1"
"GSM158881","1","2","2","2","2","2","1"
"GSM158882","1","1","1","2","2","2","1"
"GSM158883","2","1","2","1","1","1","1"
"GSM158884","2","1","2","1","1","1","1"
"GSM158885","1","1","1","1","2","2","1"
"GSM158886","2","2","2","2","2","1","2"
"GSM158887","2","1","2","2","1","1","2"
"GSM158888","1","1","1","1","1","1","1"
"GSM158889","2","2","1","2","2","1","1"
"GSM158890","1","1","1","2","2","1","1"
"GSM158891","2","1","2","2","1","1","1"
"GSM158892","2","2","2","2","2","1","2"
"GSM158893","2","2","2","1","1","1","1"
"GSM158894","1","2","1","2","2","2","1"
"GSM158895","2","1","2","1","1","2","1"
"GSM158896","2","2","1","1","1","1","1"
"GSM158897","1","1","1","2","1","1","1"
"GSM158898","2","1","1","1","1","1","1"
"GSM158899","1","2","1","1","1","2","1"
"GSM158900","1","2","1","1","2","2","1"
"GSM158901","1","2","2","2","2","2","1"
"GSM158902","1","1","1","2","1","2","1"
"GSM158903","1","1","1","1","1","1","1"
"GSM158904","1","2","1","1","2","2","1"
"GSM158905","1","2","1","2","2","2","1"
"GSM158906","1","1","2","2","2","2","1"
"GSM158907","1","1","1","2","1","2","1"
"GSM158908","2","2","2","2","2","1","2"
"GSM158909","2","1","1","1","1","1","1"
"GSM158910","1","2","2","2","2","2","2"
"GSM158911","1","1","2","1","1","1","1"
"GSM158912","1","1","1","1","1","1","1"
"GSM158913","2","2","2","2","2","2","1"
"GSM158914","1","1","1","1","1","1","1"
"GSM158915","1","2","1","1","2","2","1"
"GSM158916","2","1","1","1","1","1","1"
"GSM158917","2","2","2","1","1","1","1"
"GSM158918","2","2","1","1","2","2","1"
"GSM158919","1","2","2","2","2","2","1"
"GSM158920","1","1","1","1","1","1","1"
"GSM158921","1","1","1","1","2","1","1"
"GSM158922","1","2","2","2","2","2","1"
"GSM158923","1","1","1","1","2","2","1"
"GSM158924","2","1","1","1","1","1","1"
"GSM158925","1","1","1","1","2","2","1"
"GSM158926","1","2","1","2","2","2","1"
"GSM158927","1","1","1","1","1","2","1"
"GSM158928","1","1","1","1","1","2","1"
"GSM158929","2","2","2","2","2","1","2"
"GSM158930","1","2","2","2","2","1","2"
"GSM158931","1","2","2","2","2","2","1"
"GSM158932","2","1","2","2","1","1","1"
"GSM158933","2","2","2","2","2","1","2"
"GSM158934","1","2","2","2","2","2","1"
"GSM158935","1","1","2","2","2","2","1"
"GSM158936","1","2","1","1","1","2","1"
"GSM158937","2","1","1","1","1","1","1"
"GSM158938","2","1","1","1","1","2","1"
"GSM158939","1","2","2","2","2","2","1"
"GSM158940","2","1","2","2","1","1","1"
"GSM158941","2","2","2","2","2","2","2"
"GSM158942","2","2","1","1","1","1","1"
"GSM158943","1","1","1","1","1","1","1"
"GSM158944","1","2","1","2","2","1","1"
"GSM158945","1","2","1","1","2","2","1"
"GSM158946","2","1","2","1","1","1","1"
"GSM158947","1","2","1","2","1","2","1"
"GSM158948","1","1","1","1","1","1","1"
"GSM158949","2","2","2","2","2","2","1"
"GSM158950","2","2","2","2","2","1","1"
"GSM158951","1","1","1","1","1","2","1"
"GSM158952","2","2","2","2","2","1","1"
"GSM158953","1","1","1","2","2","2","1"
"GSM158954","2","1","1","1","1","1","1"
"GSM158955","2","1","1","1","1","1","1"
"GSM158956","2","1","1","1","1","1","1"
"GSM158957","2","1","1","1","1","1","1"
"GSM158958","2","2","2","2","2","1","2"
"GSM158959","1","1","1","1","1","2","1"
"GSM158960","2","2","2","2","1","1","1"
"GSM158961","2","2","2","2","2","1","2"
"GSM158962","2","2","2","2","2","2","1"
"GSM158963","2","2","2","2","2","2","1"
"GSM158964","1","1","1","1","1","1","1"
"GSM158965","1","1","1","2","2","1","1"
"GSM158966","1","1","2","2","2","2","1"
"GSM158967","2","2","2","2","2","1","2"
"GSM158968","1","2","2","2","2","2","1"
"GSM158969","2","1","1","1","2","2","1"
"GSM158970","1","2","1","1","2","2","1"
"GSM158971","2","2","1","2","1","1","1"
"GSM158972","1","1","1","1","1","1","1"
"GSM158973","1","2","2","2","1","2","1"
"GSM158974","2","1","1","1","1","1","1"
"GSM158975","1","1","1","1","2","2","1"
"GSM158976","2","1","1","1","1","1","1"
"GSM158977","1","2","2","2","2","2","2"
"GSM158978","1","1","1","1","1","1","1"
"GSM158979","1","2","2","2","2","2","1"
"GSM158980","2","1","2","1","2","2","1"
"GSM158981","2","1","1","1","1","1","1"
"GSM158982","1","2","2","2","2","2","1"
"GSM158983","1","2","2","2","2","2","1"
"GSM158984","1","1","1","1","1","1","1"
"GSM158985","1","1","1","1","1","1","1"
"GSM158986","2","1","2","1","1","1","1"
"GSM158987","2","1","1","1","1","1","1"
"GSM158988","1","1","1","2","2","2","1"
"GSM158990","2","2","2","2","2","1","2"
"GSM158991","1","1","1","1","2","2","1"
"GSM158992","2","1","1","1","1","1","1"
"GSM158993","1","2","2","1","2","2","1"
"GSM158994","1","1","1","1","1","2","1"
"GSM158995","1","1","1","2","2","2","2"
"GSM158996","2","1","2","2","2","1","2"
"GSM158997","2","2","2","2","2","2","1"
"GSM158998","1","1","1","1","1","2","1"
"GSM158999","1","2","1","1","2","2","1"
"GSM159000","1","1","1","1","1","2","1"
"GSM159001","2","1","1","1","1","1","1"
"GSM159002","2","1","2","2","2","1","2"
"GSM159003","1","2","2","2","2","1","2"
"GSM159004","2","1","2","1","1","1","1"
"GSM159005","1","1","2","1","2","2","1"
"GSM159006","1","2","1","1","2","2","1"
"GSM159007","1","1","2","1","1","1","1"
"GSM159008","2","1","2","1","1","1","1"
"GSM159009","2","1","2","1","1","1","1"
"GSM159010","1","2","1","2","2","2","2"
"GSM159011","1","2","2","2","1","2","1"
"GSM159012","1","1","1","1","1","2","1"
"GSM159013","2","2","2","2","2","1","1"
"GSM159014","2","1","1","2","1","1","1"
"GSM159015","1","1","1","2","1","2","1"
"GSM159016","2","2","2","2","2","1","1"
"GSM159017","2","2","2","1","1","1","1"
"GSM159018","2","1","2","1","1","2","1"
"GSM159019","2","2","1","1","1","1","1"
"GSM159020","1","2","2","2","2","2","1"
"GSM159021","1","1","1","1","1","2","1"
"GSM159022","2","2","2","2","2","1","2"
"GSM159023","1","2","2","2","2","2","1"
"GSM159024","1","2","2","2","2","2","2"
"GSM159025","2","2","2","2","2","1","1"
"GSM159026","1","1","1","1","2","2","1"
"GSM159027","2","2","2","2","2","1","2"
"GSM159028","1","2","1","1","1","2","1"
"GSM159029","2","2","1","1","1","2","1"
"GSM159030","2","1","1","1","1","1","1"
"GSM159031","1","2","1","1","2","2","1"
"GSM159032","1","1","1","1","1","2","1"
"GSM159033","1","1","1","1","1","1","1"
"GSM159034","1","1","1","2","1","2","1"
"GSM159035","2","1","1","1","1","1","1"
"GSM159036","2","2","2","2","2","1","1"
"GSM159037","1","1","1","1","1","2","1"
"GSM159038","2","2","2","2","2","1","2"
"GSM159039","2","2","2","2","2","1","1"
"GSM159040","1","2","1","1","1","2","1"
"GSM159041","2","2","2","2","1","1","1"
"GSM159042","2","2","2","2","2","2","1"
"GSM159043","1","2","2","2","2","2","1"
"GSM159044","1","1","1","1","1","2","1"
"GSM159045","2","2","2","2","2","1","2"
"GSM159046","1","2","2","2","2","1","2"
"GSM159047","1","1","1","1","1","1","1"
"GSM159048","1","2","2","2","2","2","1"
"GSM159049","1","1","2","2","1","1","1"
"GSM159050","1","1","2","1","2","2","1"
"GSM159051","2","1","1","1","1","1","1"
"GSM159052","2","2","2","1","1","2","1"
"GSM159053","1","1","1","1","1","2","1"
"GSM159054","2","1","1","1","1","2","1"
"GSM159055","1","2","1","2","2","2","1"
"GSM159056","1","1","2","2","1","2","1"
"GSM159057","1","2","1","1","2","1","1"
"GSM159058","2","2","2","2","2","1","2"
"GSM159059","1","2","1","1","2","2","1"
"GSM159060","2","1","1","1","1","1","1"
"GSM159061","2","1","1","1","1","2","1"
"GSM159062","1","2","2","2","2","2","1"
